0	0	0	0
1.01	0	0	0
2.02	0	0	0
3.03	0	0	0
4.04	0.0483167	0.00357653	0.130125
5.05002	0.125534	0.0207081	0.308325
6.06004	0.206234	0.0554402	0.506325
7.07007	0.271758	0.0997427	0.684525
8.08009	0.328391	0.154958	0.862725
9.09011	0.37434	0.239338	1.04092
10.1001	0.415491	0.30939	0.945175
11.1102	0.473668	0.382773	0.747175
12.1202	0.536202	0.4301204	0.568975
13.1302	0.606331	0.527783	0.390775
14.1402	0.681833	0.561352	0.212575
15.1503	0.760318	0.571164	0.03
16.1603	0.781439	0.571493	0
17.1703	0.781439	0.571493	0
18.1803	0.781439	0.571493	0
19.1903	0.781439	0.571493	0
23	0.781439	0.571493	0
32	0.781439	0.571493	0
